,tweet_id,tweet_en_translation
0,1536621494830354433,Have you ever tried to harvest dates in the summer?!
1,1536665962249961472,what is dates
2,1536664720198991872,when we were very young
3,1536664515026239490,whew yes it is our job to grow date palm
4,1536663406375227393,"No you are the only one who tried it, all date palms were left for you 😒"
5,1536660912983138304,No no dates are harvest in the sweet potato harvest time 🧐
6,1536660040974753792,yes I tried
7,1536659999505764352,yes we still keeping the tradition
8,1536658168704638976,We still do it thankfully
9,1536655573080498177,Did anyone told you that you are silly
10,1536654313325568000,we harvest in winter not in summer
11,1536653409260126209,yes I harvest and if I get littel amount of dates I got reproached 🥺
12,1536653370378919941,and does the dates get harvested except in summer
13,1536652323153399808,Dates are always harvest during summer
14,1536652142223712256,Yes when I was 14 years old
15,1536649535191232514,No I harvest in winter. what is wrong bro when the harvest time is then
16,1536649267560988674,Tweet writer make us think the harvest time is year round.... 😒
17,1536648284441350144,Yes of course in summer I always harvest much and shake off
18,1536647493437509632,Is there any other season to harvest the dates other than summer😂😂😂
19,1536647057695551488,Is it reaped in winter?  strange question
20,1536646083065044992,No we have tried dates harvesting in winter
21,1536645774041403392,we don't have palms😀😀
22,1536645557917257728,since 92 I harvest and I fell down once when I climb without a rope
23,1536644342064062465,Does the dates get harvested except in summer? and what is the difference between harvesting in summer or any other season ?
24,1536643467023159299,This year you gather from us instead of the date palms 😂😂😂
25,1536641573412290560,Yes. 
26,1536640689206960128,Yes I did🙂
27,1536640049474830336,Just see what have you ended up tweeting
28,1536636958591655937,Have you ever tried the suffering of high living expenses in hot summer ?!
29,1536636957379465216,yeah your question made me flash back to the young days when we go to the farms with elder. we clamp the palms and collect the dates but now we have getting old
30,1536636756816281601,yeah in very old days
31,1536636662838697985,we harvest in winter only
32,1536635872438788097,No I have not. and I don't want to try  😁
33,1536635679995793408,No we have used to harvest in the winter
34,1536635577516294144,Yes under the burning sun and shoeless 😂
35,1536634787540226049,since we were young as yet thank God 
36,1536634441094901763,great discussion
37,1536633813270503424,don't you have any important topics?
38,1536632522565726208,very enjoyable work
39,1536631902878285826,The comments😂
40,1536601068175499265,Thanks God
41,1536371221910241280,Again
42,1535693360001949696,Be thankful for small mercies
43,1535671485402075139,It's good that you told us
44,1535658284719431683,hhhh
45,1535206259493855232,Okay dear
46,1534991225849364480,Mashallah
47,1534941131036889089,"Hell, an evil refuge"
48,1534848474658873350,Good news
49,1534357514233319424,Impossible
50,1534207716570324995,Mashallah
51,1534123097384689666,No one care
52,1534062207205613568,We ask God for mecry
53,1533918125711929346,yes yes
54,1533121620344201216,40% of the population of the Sultanate of Oman suffer from high blood pressure and 30% are obese‼️
55,1533402741799849984,"Mentally ill people, what does salary and taxes have to do with diabetes and obesity"
56,1533393944058413056,"You have to keep walking. Reducing sugars and oils. Also, increasing fruits and vegetables. And don't forget hibiscus and green tea without sugar."
57,1533386662503399425,Not so little that we've been through
58,1533371083738517504,The reason is
59,1533361378710388737,"40% I don't think it was accurate, I think more, especially over the past two years "
60,1533359779241934853,Thank God they are alive
61,1533349746143805446,"The main reason is that the salaries are weak, unemployment and debts, "
62,1533348203302727680,"Yes correct. If you are reviewing the Ministry of Housing since 2011, a plot of land with an area of 600 square meters"
63,1533342462642733056,"40% of people with high blood pressure are rich, and people with obesity are the poor"
64,1533336394889940993,"Blood pressure, we know reason"
65,1533319732186824704,We want evidence and detailed medical reports confirming this percentage... Unreasonable news 🥴
66,1533316597766668289,Because of debts
67,1533316142240088064,From cheating too much in food
68,1533314829397676032,"40% of those tested, and in fact 60% of the population may suffer from chronic diseases such as diabetes, hypertension and obesity."
69,1533309827052617728,The first reason is unsuccessful and useless decisions
70,1533294733560524801,And 90% are overwhelmed
71,1533278800619921408,Stay away from mayonnaise
72,1533276349925928960,"From the burgers, the sweets, and the latte. The celebrities who advertise sweets and harmful things, I expect a sin will befall them, because what they advertise is harmful to health, just like alcohol and smoking."
73,1533233905461084160,I have high blood pressure since I moved to Muscat to work after years in Salalah.
74,1533205635059294209,die
75,1533201422099128320,"I have high blood pressure, God is the healer"
76,1533195664456396802,"If my sister, see us a solution..."
77,1533181095075790848,"Blood pressure for the poor, obesity for the one who eats the money of the poor"
78,1533172511021604864,We told you why the high blood pressure 🙆🏻 No job / laid off from work / electricity and water bills / tax / prices / and your safety. 🙆🏻‍♀️🙆🏻‍♀️
79,1533170053268574211,Not right
80,1533170040639455235,I eat plenty of rice for lunch and dinner
81,1533167633247379458,And 90% have mental illness!!! believe me
82,1533165828123901955,"From poverty, debts and thinking"
83,1533165319350534145,The reason is that they suffer from unemployment
84,1533164774816628737,"Surprised by these accounts, when holders of something send old news and statistics and are resent again, all for the sake of interaction and likes. Send it every day, maybe someone in the world still doesn't know"
85,1533163756708052993,We are waiting for the opinion of the clergy
86,1533161139495903232,"Mashallah, because annually there are 10,000 jobs, huge salaries, insurance and support, so it is high"
87,1533160808796020737,Not so little that we've been through in the last period
88,1533159904046985219,Increasing the salary and lowering the cost of living lowers blood pressure
89,1533157535166906369,Not so little that they've been through
90,1533155565677035522,The main reason is that they marry one wife
91,1533154916109365248,"In the end, everyone dies"
92,1533150940357963776,"I want to know why ministers do not get sick or die, and I have never heard of a minister who died or was ill."
93,1533149406261825536,"From worry, sullenness, and distress"
94,1533142413983854594,Because some were not promoted and then retired.
95,1533141784313925632,What are the symptoms of high blood pressure?
96,1533137219606675456,The reason is known
97,1533136296037711873,"Blood pressure because the citizen is stressed, poor"
98,1533130113335939072,"Blood pressure is linked to diabetes (one of the main causes of which is obesity) and all of these are caused by distress, worry, anguish and bank debt."
99,1533130066389090306,Increasing salaries and adjusting conditions leads to the disappearance of all diseases. Psychological and physical comfort have a significant impact.
100,1533126803778330627,"The main reason is lifestyle and most eats fast food. You find fruit juice, mixed with white sugar, and added to it ice cream, sweetened with Nutella, some sugar particles in biscuits, and a concentrated Vimtoa. Maybe it contan 1000 heat capacity. IIt is above the body's need."
101,1533124805272252421,"The reason is the lack of salaries, it is all about religion and narrowness"
102,1533122813296508928,The debt is the reason
103,1533122463730630661,Not so little that we've been through
104,1533122216195391489,"From rest, poor"
105,1533122084532064262,and 30% in prisons
106,1533121890067390464,Obesity 30% 😳
107,1533121889366904832,May God heal them
108,1533920800096526337,hhhhhhhhhhh
109,1533342222921482240,Nice
110,1533000303494279168,Excellent
111,1532052758752378881,Thank God
112,1531272277152739335,hhhhhhhhhhh
113,1531246670868094978,hhhhhhhhhhh
114,1531241291333480448,lies lies
115,1531160898966020100,The sultanate of Oman is the cheapest Gulf country in the prices of restaurant meals
116,1533498422128525314,"Oh God, do not change the restaurant food. Anything can be changed except restaurants food because we can't do without it 😹😭"
117,1531683518526496768,Who did the statics?
118,1531557726911873025,"I do not know why this account publishes incorrect information. On the contrary, there are restaurants in Oman that are much more expensive. If this account is only for false information, I hope you will close it better."
119,1531502160835403776,So raise the prices
120,1531458691148529674,"Correct, now no one buy from it, just take photo and leave"
121,1531446374247583744,Natural because the level of per capita income is the lowest in the Gulf countries..
122,1531394727102365696,"For example in Emirates if you order chicken they will give you half a chicken of rice which is enough for two people but in Oman especially Muscat a quarter of a chicken of rice is enough for one person, at the same prices."
123,1531387618809765888,Impossible
124,1531387244904325121,Compare Gulf countries salaries with Oman salaries
125,1531382034530172928,Oh we will starve to death
126,1531379335470391302,"Allah suffices me, for He is the best disposer of affairs for everyone who writes a false report and the God holds them accountable for their money, their children, their families and everything..I seek refuge in you, God, every liar, that you tell him about everything is forbidden and this is revealed."
127,1531377791660441600,How much are their salaries and how much are our salaries and how much are the salaries of the Gulf people
128,1531363873239998466,Oh really
129,1531334573346459650,I think who do this is stupid
130,1531329200019451905,"We have Turkish restaurants, fresh meat everywhere, and grills that challenge Egypt, Turkey and the Levant, should continue or not?"
131,1531325980438142976,Strange thing did your eyes and ears not see and your minds did not know the difference between the income of the individual in those countries and the income of the individual with us
132,1531325326814588932,You mean restaurant in villages?
133,1531321989490786306,it is all lie
134,1531313451339071488,"I ordered lunch from a restaurant, but I found the meat was a cat meat, and I reported about the restaurant, but I did not get a response, and from that day I did not go to that restaurant once."
135,1531306559262887936,"Now restaurant owners are raising prices delivery charges are too high they think hungry people and order from the restaurant are rich and millionaire, but the person has nothing"
136,1531306494725177344,"😲 It's not true at all... if you see how much we have in Egypt... and I have a sister in Saudi Arabia, the prices of their restaurants are cheaper than the Sultanate of Oman."
137,1531302820393148417,now they will raise prices
138,1531299600295919616,The comments contain a lot of stupidity
139,1531299497053237248,"Good, do you tell them to raise prices?"
140,1531297147127271424,I do not said anything except God save Dostain restaurant
141,1531296476936040448,I seek refuge in God from you and from your news
142,1531291430492246018,"When our restaurants become the same as the restaurants of the Gulf countries, compare"
143,1531290799354396675,vice verse
144,1531282044386529280,Increase prices and kill us
145,1531281430185132032,because they use the same oil multiple times
146,1531278097278021633,Easy to lie
147,1531265482837327873,The salary is 325 OMR with a reduction
148,1531260598729773056,"I do not thing our restaurant better than Gulf countries restaurant so no need to be more expensive, moreover most of Omanis depend on home made meals"
149,1531257743113342977,"briefly, Oman number one on everything"
150,1531256278613368832,Always criticism... if they say something good about Oman
151,1531253103466536964,Cheapest restaurants because salary is 325 beople starving
152,1531247567627075585,"More comes from Oman News..instead of standing with citizens with the lowest salaries in the Gulf, and this is what you were able to publish"
153,1531241319707906049,In this true
154,1531237405403099141,"Yes, because it is not healthy and it is prepared incorrectly, That is why it is so cheap"
155,1531235726515261440,Right cheap Falafel sandwich for 700 🙂
156,1531235412752080897,"There is a restaurant called house of ....  it is overpriced, the food is very ordinary and the service is poor.."
157,1531234523719032834,Most of restaurants are Bengali or Pakistani
158,1531233051652521984,this is normal since Omanis have the lowest salary
159,1531229900232867841,depends on their salaries
160,1531227754192162823,No job
161,1531227049775464454,I don't think there is any restaurant that has not increased the price
162,1531223882870538240,I do not deny
163,1531223573356068865,🤦‍♀️🤦‍♀️ next year you will see Omani people eats from home because of the expensive living 🤣
164,1531221148159168519,Good
165,1531220177970421765,The restaurants owned by our Yemeni brothers are almost the same in Dubai with 35 dirhams a meal and in Sinaw or Ibri about the same price I am talking about popular restaurants that are for the general public  as for Seven Star restaurants I do not know what their prices are.
166,1531219555422556160,"This is due to several reasons, including the quality of restaurants and the meals they provide, as well as the low level of per capita income and living standards."
167,1531216403612717056,"It is all a lie, nothing is cheaper than it. This is a promotion to raise prices"
168,1531216272481869824,This study doen on Pakistani restaurant
169,1531216196594540546,Stop or tomorrow they will raise prices to be on par with the rest of the countries
170,1531214279285919744,Eat rice with Dew and rest your head
171,1531213316424613888,We are done with your lies we see everything clearly
172,1531212947434905600,They are as good as their living and we are as well how do you calculate these reports and standards
173,1531212585806311427,Good give them the green light 
174,1531212375071895552,Thank God for the blessing ..
175,1531212171878727680,Not correct
176,1531211753727660032,It is all a lie
177,1531211361014931456,Brother please say something make sense
178,1531211080831275010,Forgive me God
179,1531210807735988230,Good country 🇴🇲 God willing
180,1531207423041626112,"Right, there is a plate on the table with a slice of onion, tomato, cucumber, two radish and cabbage leaves"
181,1531207119302688769,Please do not discuss something you will see tomorrow the prices increase
182,1531205200584777728,"From the middle of action ,, now I take meal and I figure out the price increase by 200 baisa than before"
183,1531204796052652033,"Where do they get this information from? I mean, I will not enter one restaurant and find cheap.. I need all restaurants. Originally a sandwich from Abu Nasha is expensive Hahahaha"
184,1531204466090954753,"Twitter has become a platform to provoke the people.. We are tired every day alone someone philosophizes and says that we have the cheapest electricity, water, food and rent!! I want to know this who philosophizes on us does he live in our country?? Or from another planet"
185,1531204225438392321,Indeed it is true and all prices are cheaper and radars are cheaper. We only hope to hire job seekers and raise wages
186,1531201926523719680,What exactly is required from us?
187,1531201904390418432,You just copy the news from a website to this website which you can only do but there is no exclusive and private news for you
188,1531201492346146816,The problem is when you report news
189,1531200536992686082,Really one of the best prices in the world
190,1531200480893861888,"Depends on the quality of the food, most of the restaurants are very cheap, go into the kitchen and see"
191,1531200149187330048,Exactly
192,1531199454279352320,No one care
193,1531199227786838017,The cheapest restaurants in the Gulf are Bahrain and then Saudi Arabia It is not true The most expensive thing is Qatar and Kuwait but it depends on the currency I mean if you have 5 Omani riyals you can have lunch with them and be satiated if you are in Bahrain or Saudi Arabia but Kuwait and Qatar can only eat shawarma and deo 🙂
194,1531198757576093696,"The meat is frozen and has no taste, as well as chicken and fish, with the scarcity of restaurants that offer fresh meat"
195,1531198576361148416,lie😤
196,1531197778407444480,Correct the cheapest but the quality of course is the worst..according to some brothers in the Sultanate.
197,1531195631779422209,"We the the best, cheapest, and the best"
198,1531194517390598146,"Ok and in salaries ,,,"
199,1531193362136584192,Increase salaries or shut up
200,1531192782274105344,We are tired of Urdu restaurants
201,1531192685649960961,You like to compare everything with Gulf countries eccepts the salaries
202,1531192336079900674,If they raise prices we will starve the salary 325 Rial
203,1531192281528684546,The Sultanate of Oman has the lowest salaries of the Gulf countries and the most unemployed and laid-off
204,1531191731445764104,"The restaurants with us are expensive and bad compared to Kuwait, the Emirates, Qatar and Bahrain. They are very distinguished, and Saudi Arabia is well advanced in this aspect, even restaurants such as Pizza Hut, KFC and other well-known restaurants are not as good as the rest of the Gulf countries. I hope the control over restaurants is greater in terms of cleanliness and prices."
205,1531191284702281728,Not true
206,1531191272861577216,Who said that
207,1531189926037012481,Preface.. They want to raise prices
208,1531188633977376769,According to the quality of food honestly our restaurants are of an average level
209,1531186350590164993,They will increse Shawarma price
210,1531185431387246595,Good news
211,1531185043296616448,Thanks God
212,1531183980711759872,and worest restaurant
213,1531183638645194752,Many restaurants and most of them have no taste or smell
214,1531182775834910723,Good
215,1531182720889536513,Go to a vegetarian restaurant and eat until full by one riyal
216,1531182281989230593,God forgive me
217,1531181273552658437,Actually prices are supposed to rise why are they fixed?
218,1531181034905255940,Salary 325
